NAME,DIRECTOR,YEAR,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,TOTALTOPIC
Midnight Cowboy,John Schlesinger,1969,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5714285714
Patton,Franklin J. Schaffner,1970,1,1,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857
The French Connection,William Friedkin,1971,1,1,1,1,0,0,0,0,1,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Godfather,Francis Ford Coppola,1972,1,1,1,1,1,0,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.2857142857
The Sting,George Roy Hill,1973,1,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather Part II,Francis Ford Coppola,1974,1,1,0,0,0,1,0,0,1,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.1428571429
One Flew Over the Cuckoo's Nest,Milos Forman,1975,1,1,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.4285714286
Rocky,John G. Avildsen,1976,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1428571429
Annie Hall,Woody Allen,1977,0,1,0,0,0,0,0,0,1,,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0.2857142857
The Deer Hunter,Michael Cimino,1978,1,1,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.4285714286
Kramer vs. Kramer,Robert Benton,1979,1,1,1,0,0,0,0,0,0,,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.4285714286
Ordinary People,Robert Redford,1980,0,1,1,1,0,0,0,0,0,,1,0,0,1,0,2,0,1,0,0,0,0,1,1,0.4285714286
Chariots of Fire,Hugh Hudson,1981,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2857142857
Gandhi,Richard Attenborough,1982,1,1,0,1,0,0,0,1,0,,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.2857142857
Terms of Endearment,James L. Brooks,1983,1,1,1,0,1,0,0,0,0,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.2857142857
Amadeus,Milos Forman,1984,1,1,1,1,0,1,0,1,0,,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0.4285714286
Out of Africa,Sydney Pollack,1985,1,0,1,0,1,2,0,0,1,,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0.5714285714
Platoon,Oliver Stone,1986,1,1,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.4285714286
The Last Emperor,Bernardo Bertolucci,1987,1,1,1,1,0,1,0,1,0,,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0.4285714286
Rain Man,Barry Levinson,1988,1,1,1,0,1,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2857142857
Driving Miss Daisy,Bruce Beresford,1989,1,0,1,0,0,1,0,0,0,,1,0,1,1,1,2,0,1,1,0,0,0,0,1,0.4285714286
Dances With Wolves,Kevin Costner,1990,1,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0.5714285714
The Silence of the Lambs,Johnathan Demme,1991,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0.2857142857
Unforgiven,Clint Eastwood,1992,1,1,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1428571429
Schindler's List,Steven Spielberg,1993,1,1,1,1,1,3,0,1,0,,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0.4285714286
Forrest Gump,Robert Zemeckis,1994,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0.8571428571
Braveheart,Mel Gibson,1995,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.4285714286
The English Patient,Anthony Minghella,1996,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0.4285714286
Titanic,James Cameron,1997,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857
