NAME,DIRECTOR,YEAR,WIN,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,TOTALTOPIC,PROB,ADJPROB
Titanic,James Cameron,1997,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0.285714286,0.541666667,0.8
Shakespeare in love,John Madden,1998,1,1,0,1,0,1,0,0,0,1,2,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0.285714286,0.541666667,0.9
American Beauty,Sam Mendes,1999,1,1,1,1,1,0,0,0,0,1,3,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0.285714286,0.583333333,0.8
Gladiator,Ridley Scott,2000,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.428571429,0.291666667,0.4
A Beautiful Mind,Ron Howard,2001,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.428571429,0.375,0.6
Chicago,Rob Marshall,2002,1,1,1,1,0,0,0,0,0,1,3,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.142857143,0.541666667,0.7
The Lord of the Rings: Return of the King,Peter Jackson,2003,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.3
Million Dollar Baby,Clint Eastwood,2004,1,0,1,0,1,1,2,0,0,0,2,1,0,1,1,0,2,0,1,0,1,0,0,0,1,0.428571429,0.625,0.7
Crash,Paul Haggis,2005,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,1,1,0,0,1,1,0.714285714,0.458333333,0.5
The Departed,Martin Scorsese,2006,1,0,1,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.2
No Country for Old Men,"Joel Coen, Ethan Coen",2007,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.291666667,0.3
Slumdog Millionaire,Danny Boyle,2008,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.285714286,0.291666667,0.4
The Hurt Locker,Kathryn Bigelow,2009,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.208333333,0.2
The King's Speech,Tom Hopper,2010,1,1,1,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.285714286,0.416666667,0.6
The Artist,Michel Hazanavicius,2011,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0.285714286,0.375,0.7
Argo,Ben Affleck,2012,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.291666667,0.3
12 Years a Slave,Steve McQueen,2013,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.571428571,0.333333333,0.4
Birdman or (The Unexpected Virtue of Ignorance),Alejandro Gonzalez Inarritu,2014,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.285714286,0.291666667,0.4
Spotlight,Thomas McCarthy,2015,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.285714286,0.166666667,0.2
Moonlight,Barry Jenkins,2016,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0.571428571,0.375,0.4
The Shape of Water,Guillermo del Toro,2017,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,1,1,1,0.571428571,0.458333333,0.4
Green Book,Peter Farrelly,2018,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.428571429,0.25,0.3
Parasite,Bong Joon-Ho,2019,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,0,1,0,1,0,0.571428571,0.458333333,0.6
Nomadland,Chloe Zhao,2020,1,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.428571429,0.458333333,0.7
CODA,Sian Heder,2021,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.142857143,0.291666667,0.4
Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",2022,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0.571428571,0.666666667,1
