NAME,DIRECTOR,YEAR,WIN,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,THEMEONLY,PROB,ADJPROB
The Bridge on the River Kwai,David Lean,1957,1,0,1,1,1,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.4166666667,0.7
Gigi,Vincente Minnelli,1958,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0.1428571429,0.375,0.7
Ben-Hur,William Wyler,1959,1,1,1,1,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.4285714286,0.7916666667,1.5
The Apartment,Billy Wilder,1960,1,1,1,0,0,0,7,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0.2857142857,0.6666666667,1.2
West Side Story,"Jerome Robbins, Robert Wise",1961,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1,1,0,1,0,1,0,0.5714285714,0.5,0.7
Tom Jones,Tony Richardson,1963,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0.1428571429,0.375,0.6
My Fair Lady,George Cukor,1964,1,0,1,1,1,1,4,0,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,1,0.2857142857,0.625,1.2
The Sound of Music,Robert Wise,1965,1,1,1,1,0,1,2,0,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0.1428571429,0.5833333333,1
A Man for All Seasons,Fred Zinnemann,1966,1,0,1,1,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666667,0.9
In the Heat of the Night,Norman Jewison,1967,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1428571429,0.2083333333,0.3
Oliver!,Carol Reed,1968,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2857142857,0.2916666667,0.5
Midnight Cowboy,John Schlesinger,1969,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5714285714,0.25,0.3
Patton,Franklin J. Schaffner,1970,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857,0.2916666667,0.3
The French Connection,William Friedkin,1971,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333,0.6
The Godfather,Francis Ford Coppola,1972,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.2857142857,0.375,0.5
The Sting,George Roy Hill,1973,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666667,0.4
The Godfather Part II,Francis Ford Coppola,1974,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.2916666667,0.5
One Flew Over the Cuckoo's Nest,Milos Forman,1975,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.4285714286,0.3333333333,0.4
Rocky,John G. Avildsen,1976,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1428571429,0.1666666667,0.3
Taxi Driver,Martin Scorsese,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.4285714286,0.125,0
Annie Hall,Woody Allen,1977,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0.2857142857,0.375,0.5
The Deer Hunter,Michael Cimino,1978,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.4285714286,0.3333333333,0.4
Kramer vs. Kramer,Robert Benton,1979,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.4285714286,0.3333333333,0.3
Apocalypse Now,Francis Ford Coppola,1979,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.25,0.5
Ordinary People,Robert Redford,1980,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,1,0.4285714286,0.4166666667,0.6
Chariots of Fire,Hugh Hudson,1981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2857142857,0.1666666667,0.2
Reds,Warren Beatty,1981,0,1,1,0,0,2,1,0,1,0,0,0,1,1,1,0,2,0,0,0,0,1,0,1,1,0.4285714286,0.5833333333,1
Gandhi,Richard Attenborough,1982,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.2857142857,0.3333333333,0.4
Lawrence of Arabia,David Lean,1962,1,1,1,1,1,1,4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.2857142857,0.5416666667,1
Terms of Endearment,James L. Brooks,1983,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.2857142857,0.4166666667,0.6
Amadeus,Milos Forman,1984,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0.4285714286,0.5,0.7
Out of Africa,Sydney Pollack,1985,1,1,0,1,0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0.5714285714,0.5416666667,0.8
Platoon,Oliver Stone,1986,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.4285714286,0.3333333333,0.5
The Last Emperor,Bernardo Bertolucci,1987,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0.4285714286,0.5,0.7
Rain Man,Barry Levinson,1988,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2857142857,0.3333333333,0.5
Driving Miss Daisy,Bruce Beresford,1989,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,2,0,1,1,0,0,0,0,1,0.4285714286,0.5,0.6
